municipality_code,seconds_above,seconds_at_most,census_car_commuters_2022,census_share,modeled_all_commuters_road_time,modeled_share,share_difference_percentage_points,interpretation
3301801,0,300.0,116,0.10366398570151922,0,0.0,-10.366398570151922,"Diagnostic only: 2022 automobile users returning >=3 days/week versus all modeled commuters, static road times, no congestion; different universes and boundary."
3301801,300,900.0,284,0.2537980339588919,2,0.25,-0.3798033958891889,"Diagnostic only: 2022 automobile users returning >=3 days/week versus all modeled commuters, static road times, no congestion; different universes and boundary."
3301801,900,1800.0,380,0.33958891867739055,1,0.125,-21.458891867739055,"Diagnostic only: 2022 automobile users returning >=3 days/week versus all modeled commuters, static road times, no congestion; different universes and boundary."
3301801,1800,3600.0,209,0.1867739052725648,3,0.375,18.82260947274352,"Diagnostic only: 2022 automobile users returning >=3 days/week versus all modeled commuters, static road times, no congestion; different universes and boundary."
3301801,3600,7200.0,125,0.11170688114387846,2,0.25,13.829311885612155,"Diagnostic only: 2022 automobile users returning >=3 days/week versus all modeled commuters, static road times, no congestion; different universes and boundary."
3301801,7200,14400.0,5,0.004468275245755138,0,0.0,-0.44682752457551383,"Diagnostic only: 2022 automobile users returning >=3 days/week versus all modeled commuters, static road times, no congestion; different universes and boundary."
3301801,14400,inf,0,0.0,0,0.0,0.0,"Diagnostic only: 2022 automobile users returning >=3 days/week versus all modeled commuters, static road times, no congestion; different universes and boundary."
3301850,0,300.0,271,0.07157950343370312,802,0.245635528330781,17.40560248970779,"Diagnostic only: 2022 automobile users returning >=3 days/week versus all modeled commuters, static road times, no congestion; different universes and boundary."
3301850,300,900.0,958,0.25303750660327523,1537,0.47075038284839205,21.771287624511682,"Diagnostic only: 2022 automobile users returning >=3 days/week versus all modeled commuters, static road times, no congestion; different universes and boundary."
3301850,900,1800.0,1333,0.3520866349709456,348,0.10658499234303216,-24.550164262791345,"Diagnostic only: 2022 automobile users returning >=3 days/week versus all modeled commuters, static road times, no congestion; different universes and boundary."
3301850,1800,3600.0,707,0.1867406233491812,570,0.17457886676875958,-1.2161756580421623,"Diagnostic only: 2022 automobile users returning >=3 days/week versus all modeled commuters, static road times, no congestion; different universes and boundary."
3301850,3600,7200.0,463,0.12229265715795035,8,0.002450229709035222,-11.984242744891512,"Diagnostic only: 2022 automobile users returning >=3 days/week versus all modeled commuters, static road times, no congestion; different universes and boundary."
3301850,7200,14400.0,54,0.014263074484944533,0,0.0,-1.4263074484944533,"Diagnostic only: 2022 automobile users returning >=3 days/week versus all modeled commuters, static road times, no congestion; different universes and boundary."
3301850,14400,inf,0,0.0,0,0.0,0.0,"Diagnostic only: 2022 automobile users returning >=3 days/week versus all modeled commuters, static road times, no congestion; different universes and boundary."
3301900,0,300.0,1006,0.0651006277098298,16074,0.20256067747057488,13.746004976074508,"Diagnostic only: 2022 automobile users returning >=3 days/week versus all modeled commuters, static road times, no congestion; different universes and boundary."
3301900,300,900.0,2691,0.1741409435061153,31335,0.3948761247070091,22.073518120089382,"Diagnostic only: 2022 automobile users returning >=3 days/week versus all modeled commuters, static road times, no congestion; different universes and boundary."
3301900,900,1800.0,4009,0.2594318255354947,11191,0.14102628726970284,-11.840553826579187,"Diagnostic only: 2022 automobile users returning >=3 days/week versus all modeled commuters, static road times, no congestion; different universes and boundary."
3301900,1800,3600.0,4991,0.3229793567592053,20182,0.25432870428711846,-6.865065247208685,"Diagnostic only: 2022 automobile users returning >=3 days/week versus all modeled commuters, static road times, no congestion; different universes and boundary."
3301900,3600,7200.0,2627,0.16999935287646412,572,0.007208206265594677,-16.279114661086943,"Diagnostic only: 2022 automobile users returning >=3 days/week versus all modeled commuters, static road times, no congestion; different universes and boundary."
3301900,7200,14400.0,129,0.0083478936128907,0,0.0,-0.83478936128907,"Diagnostic only: 2022 automobile users returning >=3 days/week versus all modeled commuters, static road times, no congestion; different universes and boundary."
3301900,14400,inf,0,0.0,0,0.0,0.0,"Diagnostic only: 2022 automobile users returning >=3 days/week versus all modeled commuters, static road times, no congestion; different universes and boundary."
3302007,0,300.0,603,0.06977551492710021,13023,0.30543893801158617,23.566342308448597,"Diagnostic only: 2022 automobile users returning >=3 days/week versus all modeled commuters, static road times, no congestion; different universes and boundary."
3302007,300,900.0,2105,0.2435778754917843,22756,0.5337148486056711,29.013697311388675,"Diagnostic only: 2022 automobile users returning >=3 days/week versus all modeled commuters, static road times, no congestion; different universes and boundary."
3302007,900,1800.0,3499,0.404883128905346,3014,0.07068977648521238,-33.41933524201336,"Diagnostic only: 2022 automobile users returning >=3 days/week versus all modeled commuters, static road times, no congestion; different universes and boundary."
3302007,1800,3600.0,1652,0.19115945383013191,3612,0.08471515350517156,-10.644430032496036,"Diagnostic only: 2022 automobile users returning >=3 days/week versus all modeled commuters, static road times, no congestion; different universes and boundary."
3302007,3600,7200.0,712,0.08238833603332561,232,0.0054412833923587495,-7.694705264096687,"Diagnostic only: 2022 automobile users returning >=3 days/week versus all modeled commuters, static road times, no congestion; different universes and boundary."
3302007,7200,14400.0,56,0.0064799814857671835,0,0.0,-0.6479981485767183,"Diagnostic only: 2022 automobile users returning >=3 days/week versus all modeled commuters, static road times, no congestion; different universes and boundary."
3302007,14400,inf,15,0.0017357093265447812,0,0.0,-0.17357093265447812,"Diagnostic only: 2022 automobile users returning >=3 days/week versus all modeled commuters, static road times, no congestion; different universes and boundary."
3302270,0,300.0,132,0.05518394648829431,4085,0.14952963139207145,9.434568490377714,"Diagnostic only: 2022 automobile users returning >=3 days/week versus all modeled commuters, static road times, no congestion; different universes and boundary."
3302270,300,900.0,364,0.15217391304347827,7451,0.2727405834767012,12.056667043322294,"Diagnostic only: 2022 automobile users returning >=3 days/week versus all modeled commuters, static road times, no congestion; different universes and boundary."
3302270,900,1800.0,688,0.28762541806020064,5466,0.20008053003404225,-8.754488802615839,"Diagnostic only: 2022 automobile users returning >=3 days/week versus all modeled commuters, static road times, no congestion; different universes and boundary."
3302270,1800,3600.0,602,0.2516722408026756,10114,0.3702185292287419,11.85462884260663,"Diagnostic only: 2022 automobile users returning >=3 days/week versus all modeled commuters, static road times, no congestion; different universes and boundary."
3302270,3600,7200.0,471,0.19690635451505017,203,0.007430725868443208,-18.947562864660696,"Diagnostic only: 2022 automobile users returning >=3 days/week versus all modeled commuters, static road times, no congestion; different universes and boundary."
3302270,7200,14400.0,135,0.056438127090301,0,0.0,-5.6438127090301,"Diagnostic only: 2022 automobile users returning >=3 days/week versus all modeled commuters, static road times, no congestion; different universes and boundary."
3302270,14400,inf,0,0.0,0,0.0,0.0,"Diagnostic only: 2022 automobile users returning >=3 days/week versus all modeled commuters, static road times, no congestion; different universes and boundary."
3302502,0,300.0,604,0.048729326341266636,16028,0.20855670639671056,15.982738005544391,"Diagnostic only: 2022 automobile users returning >=3 days/week versus all modeled commuters, static road times, no congestion; different universes and boundary."
3302502,300,900.0,2357,0.19015732150060508,27185,0.35373184822776244,16.357452672715738,"Diagnostic only: 2022 automobile users returning >=3 days/week versus all modeled commuters, static road times, no congestion; different universes and boundary."
3302502,900,1800.0,3516,0.2836627672448568,18752,0.24400145734658824,-3.966130989826855,"Diagnostic only: 2022 automobile users returning >=3 days/week versus all modeled commuters, static road times, no congestion; different universes and boundary."
3302502,1800,3600.0,3257,0.2627672448567971,14456,0.18810180606880758,-7.466543878798951,"Diagnostic only: 2022 automobile users returning >=3 days/week versus all modeled commuters, static road times, no congestion; different universes and boundary."
3302502,3600,7200.0,2424,0.19556272690601048,431,0.0056081819601311615,-18.995454494587932,"Diagnostic only: 2022 automobile users returning >=3 days/week versus all modeled commuters, static road times, no congestion; different universes and boundary."
3302502,7200,14400.0,237,0.019120613150463896,0,0.0,-1.9120613150463897,"Diagnostic only: 2022 automobile users returning >=3 days/week versus all modeled commuters, static road times, no congestion; different universes and boundary."
3302502,14400,inf,0,0.0,0,0.0,0.0,"Diagnostic only: 2022 automobile users returning >=3 days/week versus all modeled commuters, static road times, no congestion; different universes and boundary."
3302601,0,300.0,162,0.04804270462633452,1,0.014705882352941176,-3.3336822273393336,"Diagnostic only: 2022 automobile users returning >=3 days/week versus all modeled commuters, static road times, no congestion; different universes and boundary."
3302601,300,900.0,811,0.24051008303677343,20,0.29411764705882354,5.360756402205011,"Diagnostic only: 2022 automobile users returning >=3 days/week versus all modeled commuters, static road times, no congestion; different universes and boundary."
3302601,900,1800.0,1090,0.3232502965599051,22,0.3235294117647059,0.02791152048007839,"Diagnostic only: 2022 automobile users returning >=3 days/week versus all modeled commuters, static road times, no congestion; different universes and boundary."
3302601,1800,3600.0,787,0.2333926453143535,8,0.11764705882352941,-11.574558649082409,"Diagnostic only: 2022 automobile users returning >=3 days/week versus all modeled commuters, static road times, no congestion; different universes and boundary."
3302601,3600,7200.0,522,0.15480427046263345,17,0.25,9.519572953736654,"Diagnostic only: 2022 automobile users returning >=3 days/week versus all modeled commuters, static road times, no congestion; different universes and boundary."
3302601,7200,14400.0,0,0.0,0,0.0,0.0,"Diagnostic only: 2022 automobile users returning >=3 days/week versus all modeled commuters, static road times, no congestion; different universes and boundary."
3302601,14400,inf,0,0.0,0,0.0,0.0,"Diagnostic only: 2022 automobile users returning >=3 days/week versus all modeled commuters, static road times, no congestion; different universes and boundary."
3302700,0,300.0,1005,0.049502512067776575,7272,0.19276341948310138,14.326090741532482,"Diagnostic only: 2022 automobile users returning >=3 days/week versus all modeled commuters, static road times, no congestion; different universes and boundary."
3302700,300,900.0,3707,0.1825928479952714,11690,0.30987408880053013,12.728124080525873,"Diagnostic only: 2022 automobile users returning >=3 days/week versus all modeled commuters, static road times, no congestion; different universes and boundary."
3302700,900,1800.0,6257,0.30819623682395825,3363,0.08914512922465209,-21.905110759930615,"Diagnostic only: 2022 automobile users returning >=3 days/week versus all modeled commuters, static road times, no congestion; different universes and boundary."
3302700,1800,3600.0,5569,0.2743079499556694,13078,0.3466666666666667,7.235871671099731,"Diagnostic only: 2022 automobile users returning >=3 days/week versus all modeled commuters, static road times, no congestion; different universes and boundary."
3302700,3600,7200.0,3548,0.17476110728007094,2322,0.061550695825049705,-11.321041145502123,"Diagnostic only: 2022 automobile users returning >=3 days/week versus all modeled commuters, static road times, no congestion; different universes and boundary."
3302700,7200,14400.0,216,0.010639345877253473,0,0.0,-1.0639345877253472,"Diagnostic only: 2022 automobile users returning >=3 days/week versus all modeled commuters, static road times, no congestion; different universes and boundary."
3302700,14400,inf,0,0.0,0,0.0,0.0,"Diagnostic only: 2022 automobile users returning >=3 days/week versus all modeled commuters, static road times, no congestion; different universes and boundary."
3302858,0,300.0,317,0.035498320268756996,10615,0.18728937664308273,15.179105637432574,"Diagnostic only: 2022 automobile users returning >=3 days/week versus all modeled commuters, static road times, no congestion; different universes and boundary."
3302858,300,900.0,1441,0.16136618141097425,25967,0.45815763007922083,29.679144866824657,"Diagnostic only: 2022 automobile users returning >=3 days/week versus all modeled commuters, static road times, no congestion; different universes and boundary."
3302858,900,1800.0,2889,0.3235162374020157,12773,0.22536478642129965,-9.815145098071604,"Diagnostic only: 2022 automobile users returning >=3 days/week versus all modeled commuters, static road times, no congestion; different universes and boundary."
3302858,1800,3600.0,2536,0.28398656215005597,7282,0.12848245319971063,-15.550410895034533,"Diagnostic only: 2022 automobile users returning >=3 days/week versus all modeled commuters, static road times, no congestion; different universes and boundary."
3302858,3600,7200.0,1648,0.1845464725643897,40,0.0007057536566861337,-18.384071890770358,"Diagnostic only: 2022 automobile users returning >=3 days/week versus all modeled commuters, static road times, no congestion; different universes and boundary."
3302858,7200,14400.0,99,0.01108622620380739,0,0.0,-1.108622620380739,"Diagnostic only: 2022 automobile users returning >=3 days/week versus all modeled commuters, static road times, no congestion; different universes and boundary."
3302858,14400,inf,0,0.0,0,0.0,0.0,"Diagnostic only: 2022 automobile users returning >=3 days/week versus all modeled commuters, static road times, no congestion; different universes and boundary."
3302908,0,300.0,265,0.08466453674121406,1,0.09090909090909091,0.624455416787685,"Diagnostic only: 2022 automobile users returning >=3 days/week versus all modeled commuters, static road times, no congestion; different universes and boundary."
3302908,300,900.0,1108,0.3539936102236422,1,0.09090909090909091,-26.308451931455124,"Diagnostic only: 2022 automobile users returning >=3 days/week versus all modeled commuters, static road times, no congestion; different universes and boundary."
3302908,900,1800.0,1208,0.3859424920127795,0,0.0,-38.594249201277954,"Diagnostic only: 2022 automobile users returning >=3 days/week versus all modeled commuters, static road times, no congestion; different universes and boundary."
3302908,1800,3600.0,297,0.09488817891373802,6,0.5454545454545454,45.05663665408074,"Diagnostic only: 2022 automobile users returning >=3 days/week versus all modeled commuters, static road times, no congestion; different universes and boundary."
3302908,3600,7200.0,242,0.07731629392971245,3,0.2727272727272727,19.541097879756027,"Diagnostic only: 2022 automobile users returning >=3 days/week versus all modeled commuters, static road times, no congestion; different universes and boundary."
3302908,7200,14400.0,10,0.003194888178913738,0,0.0,-0.3194888178913738,"Diagnostic only: 2022 automobile users returning >=3 days/week versus all modeled commuters, static road times, no congestion; different universes and boundary."
3302908,14400,inf,0,0.0,0,0.0,0.0,"Diagnostic only: 2022 automobile users returning >=3 days/week versus all modeled commuters, static road times, no congestion; different universes and boundary."
3303203,0,300.0,241,0.027896747308716288,15450,0.28919045390734677,26.12937065986305,"Diagnostic only: 2022 automobile users returning >=3 days/week versus all modeled commuters, static road times, no congestion; different universes and boundary."
3303203,300,900.0,1405,0.16263456418566963,21208,0.39696771174543755,23.43331475597679,"Diagnostic only: 2022 automobile users returning >=3 days/week versus all modeled commuters, static road times, no congestion; different universes and boundary."
3303203,900,1800.0,2510,0.29054288690820695,8586,0.16071127749181094,-12.983160941639602,"Diagnostic only: 2022 automobile users returning >=3 days/week versus all modeled commuters, static road times, no congestion; different universes and boundary."
3303203,1800,3600.0,2756,0.31901840490797545,8140,0.15236312587739823,-16.665527903057722,"Diagnostic only: 2022 automobile users returning >=3 days/week versus all modeled commuters, static road times, no congestion; different universes and boundary."
3303203,3600,7200.0,1615,0.18694293320986224,41,0.0007674309780065512,-18.61755022318557,"Diagnostic only: 2022 automobile users returning >=3 days/week versus all modeled commuters, static road times, no congestion; different universes and boundary."
3303203,7200,14400.0,112,0.012964463479569395,0,0.0,-1.2964463479569395,"Diagnostic only: 2022 automobile users returning >=3 days/week versus all modeled commuters, static road times, no congestion; different universes and boundary."
3303203,14400,inf,0,0.0,0,0.0,0.0,"Diagnostic only: 2022 automobile users returning >=3 days/week versus all modeled commuters, static road times, no congestion; different universes and boundary."
3303302,0,300.0,1528,0.030418250950570342,63749,0.3024189148801928,27.200066392962245,"Diagnostic only: 2022 automobile users returning >=3 days/week versus all modeled commuters, static road times, no congestion; different universes and boundary."
3303302,300,900.0,6897,0.1373001811558139,77762,0.36889519300559304,23.159501184977913,"Diagnostic only: 2022 automobile users returning >=3 days/week versus all modeled commuters, static road times, no congestion; different universes and boundary."
3303302,900,1800.0,13236,0.26349212668962635,53854,0.2554780191368947,-0.8014107552731631,"Diagnostic only: 2022 automobile users returning >=3 days/week versus all modeled commuters, static road times, no congestion; different universes and boundary."
3303302,1800,3600.0,17964,0.35761352099217647,14555,0.06904747221260264,-28.85660487795738,"Diagnostic only: 2022 automobile users returning >=3 days/week versus all modeled commuters, static road times, no congestion; different universes and boundary."
3303302,3600,7200.0,9697,0.19304043158879622,877,0.0041604007647167655,-18.888003082407945,"Diagnostic only: 2022 automobile users returning >=3 days/week versus all modeled commuters, static road times, no congestion; different universes and boundary."
3303302,7200,14400.0,911,0.01813548862301674,0,0.0,-1.813548862301674,"Diagnostic only: 2022 automobile users returning >=3 days/week versus all modeled commuters, static road times, no congestion; different universes and boundary."
3303302,14400,inf,0,0.0,0,0.0,0.0,"Diagnostic only: 2022 automobile users returning >=3 days/week versus all modeled commuters, static road times, no congestion; different universes and boundary."
3303500,0,300.0,1396,0.033581910031272554,68323,0.2513593854621175,21.777747543084494,"Diagnostic only: 2022 automobile users returning >=3 days/week versus all modeled commuters, static road times, no congestion; different universes and boundary."
3303500,300,900.0,6326,0.152177050757758,106665,0.39241908069488696,24.024202993712894,"Diagnostic only: 2022 automobile users returning >=3 days/week versus all modeled commuters, static road times, no congestion; different universes and boundary."
3303500,900,1800.0,11859,0.28527784459947075,63290,0.23284304708366751,-5.243479751580324,"Diagnostic only: 2022 automobile users returning >=3 days/week versus all modeled commuters, static road times, no congestion; different universes and boundary."
3303500,1800,3600.0,12207,0.2936492662978109,33086,0.12172294289477363,-17.192632340303724,"Diagnostic only: 2022 automobile users returning >=3 days/week versus all modeled commuters, static road times, no congestion; different universes and boundary."
3303500,3600,7200.0,8516,0.20485927351455377,450,0.001655543864554438,-20.320372964999933,"Diagnostic only: 2022 automobile users returning >=3 days/week versus all modeled commuters, static road times, no congestion; different universes and boundary."
3303500,7200,14400.0,1266,0.03045465479913399,0,0.0,-3.045465479913399,"Diagnostic only: 2022 automobile users returning >=3 days/week versus all modeled commuters, static road times, no congestion; different universes and boundary."
3303500,14400,inf,0,0.0,0,0.0,0.0,"Diagnostic only: 2022 automobile users returning >=3 days/week versus all modeled commuters, static road times, no congestion; different universes and boundary."
3303609,0,300.0,182,0.06431095406360424,4107,0.2682560418027433,20.39450877391391,"Diagnostic only: 2022 automobile users returning >=3 days/week versus all modeled commuters, static road times, no congestion; different universes and boundary."
3303609,300,900.0,741,0.2618374558303887,6699,0.43755715218811236,17.571969635772366,"Diagnostic only: 2022 automobile users returning >=3 days/week versus all modeled commuters, static road times, no congestion; different universes and boundary."
3303609,900,1800.0,1002,0.35406360424028266,2013,0.13148269105160026,-22.25809131886824,"Diagnostic only: 2022 automobile users returning >=3 days/week versus all modeled commuters, static road times, no congestion; different universes and boundary."
3303609,1800,3600.0,573,0.20247349823321556,1785,0.11659046374918354,-8.588303448403202,"Diagnostic only: 2022 automobile users returning >=3 days/week versus all modeled commuters, static road times, no congestion; different universes and boundary."
3303609,3600,7200.0,309,0.10918727915194346,705,0.04604833442194644,-6.313894472999701,"Diagnostic only: 2022 automobile users returning >=3 days/week versus all modeled commuters, static road times, no congestion; different universes and boundary."
3303609,7200,14400.0,23,0.00812720848056537,1,6.531678641410843e-05,-0.8061891694151262,"Diagnostic only: 2022 automobile users returning >=3 days/week versus all modeled commuters, static road times, no congestion; different universes and boundary."
3303609,14400,inf,0,0.0,0,0.0,0.0,"Diagnostic only: 2022 automobile users returning >=3 days/week versus all modeled commuters, static road times, no congestion; different universes and boundary."
3304003,0,300.0,422,0.15600739371534195,207,0.15401785714285715,-0.19895365724847958,"Diagnostic only: 2022 automobile users returning >=3 days/week versus all modeled commuters, static road times, no congestion; different universes and boundary."
3304003,300,900.0,585,0.21626617375231053,557,0.41443452380952384,19.81683500572133,"Diagnostic only: 2022 automobile users returning >=3 days/week versus all modeled commuters, static road times, no congestion; different universes and boundary."
3304003,900,1800.0,876,0.3238447319778189,393,0.2924107142857143,-3.143401769210458,"Diagnostic only: 2022 automobile users returning >=3 days/week versus all modeled commuters, static road times, no congestion; different universes and boundary."
3304003,1800,3600.0,549,0.20295748613678374,166,0.12351190476190477,-7.944558137487897,"Diagnostic only: 2022 automobile users returning >=3 days/week versus all modeled commuters, static road times, no congestion; different universes and boundary."
3304003,3600,7200.0,273,0.10092421441774492,21,0.015625,-8.529921441774492,"Diagnostic only: 2022 automobile users returning >=3 days/week versus all modeled commuters, static road times, no congestion; different universes and boundary."
3304003,7200,14400.0,0,0.0,0,0.0,0.0,"Diagnostic only: 2022 automobile users returning >=3 days/week versus all modeled commuters, static road times, no congestion; different universes and boundary."
3304003,14400,inf,0,0.0,0,0.0,0.0,"Diagnostic only: 2022 automobile users returning >=3 days/week versus all modeled commuters, static road times, no congestion; different universes and boundary."
3304144,0,300.0,468,0.06808263020075647,9590,0.18461123837757715,11.652860817682068,"Diagnostic only: 2022 automobile users returning >=3 days/week versus all modeled commuters, static road times, no congestion; different universes and boundary."
3304144,300,900.0,1221,0.17762583648530694,20394,0.39259244999711246,21.496661351180553,"Diagnostic only: 2022 automobile users returning >=3 days/week versus all modeled commuters, static road times, no congestion; different universes and boundary."
3304144,900,1800.0,1928,0.28047716031422754,8975,0.17277224863803492,-10.770491167619262,"Diagnostic only: 2022 automobile users returning >=3 days/week versus all modeled commuters, static road times, no congestion; different universes and boundary."
3304144,1800,3600.0,1806,0.26272912423625255,12827,0.2469247502261921,-1.5804374010060462,"Diagnostic only: 2022 automobile users returning >=3 days/week versus all modeled commuters, static road times, no congestion; different universes and boundary."
3304144,3600,7200.0,1281,0.18635437881873726,161,0.003099312761083412,-18.325506605765383,"Diagnostic only: 2022 automobile users returning >=3 days/week versus all modeled commuters, static road times, no congestion; different universes and boundary."
3304144,7200,14400.0,170,0.024730869944719232,0,0.0,-2.4730869944719234,"Diagnostic only: 2022 automobile users returning >=3 days/week versus all modeled commuters, static road times, no congestion; different universes and boundary."
3304144,14400,inf,0,0.0,0,0.0,0.0,"Diagnostic only: 2022 automobile users returning >=3 days/week versus all modeled commuters, static road times, no congestion; different universes and boundary."
3304557,0,300.0,14597,0.029063099798507522,249237,0.10045763509787925,7.139453529937173,"Diagnostic only: 2022 automobile users returning >=3 days/week versus all modeled commuters, static road times, no congestion; different universes and boundary."
3304557,300,900.0,64915,0.12924786760431017,1620220,0.6530469775285609,52.379910992425074,"Diagnostic only: 2022 automobile users returning >=3 days/week versus all modeled commuters, static road times, no congestion; different universes and boundary."
3304557,900,1800.0,145434,0.28956380462397363,289968,0.11687469971979221,-17.268910490418143,"Diagnostic only: 2022 automobile users returning >=3 days/week versus all modeled commuters, static road times, no congestion; different universes and boundary."
3304557,1800,3600.0,181852,0.36207322220717886,314276,0.1266722987679241,-23.540092343925476,"Diagnostic only: 2022 automobile users returning >=3 days/week versus all modeled commuters, static road times, no congestion; different universes and boundary."
3304557,3600,7200.0,89548,0.17829296847001108,7315,0.0029483888858435415,-17.534457958416755,"Diagnostic only: 2022 automobile users returning >=3 days/week versus all modeled commuters, static road times, no congestion; different universes and boundary."
3304557,7200,14400.0,5862,0.011671431870853675,0,0.0,-1.1671431870853675,"Diagnostic only: 2022 automobile users returning >=3 days/week versus all modeled commuters, static road times, no congestion; different universes and boundary."
3304557,14400,inf,44,8.760542516505659e-05,0,0.0,-0.008760542516505659,"Diagnostic only: 2022 automobile users returning >=3 days/week versus all modeled commuters, static road times, no congestion; different universes and boundary."
3304904,0,300.0,1715,0.03350852855551865,87532,0.2554150070760567,22.190647852053804,"Diagnostic only: 2022 automobile users returning >=3 days/week versus all modeled commuters, static road times, no congestion; different universes and boundary."
3304904,300,900.0,5724,0.11183837752290889,157614,0.45991158576618374,34.80732082432748,"Diagnostic only: 2022 automobile users returning >=3 days/week versus all modeled commuters, static road times, no congestion; different universes and boundary."
3304904,900,1800.0,14309,0.2795764053066568,65307,0.1905633124699085,-8.901309283674827,"Diagnostic only: 2022 automobile users returning >=3 days/week versus all modeled commuters, static road times, no congestion; different universes and boundary."
3304904,1800,3600.0,18272,0.3570074832457357,31776,0.09272114500809735,-26.428633823763835,"Diagnostic only: 2022 automobile users returning >=3 days/week versus all modeled commuters, static road times, no congestion; different universes and boundary."
3304904,3600,7200.0,10346,0.20214532736757782,476,0.001388949679753724,-20.07563776878241,"Diagnostic only: 2022 automobile users returning >=3 days/week versus all modeled commuters, static road times, no congestion; different universes and boundary."
3304904,7200,14400.0,795,0.015533107989292902,0,0.0,-1.5533107989292902,"Diagnostic only: 2022 automobile users returning >=3 days/week versus all modeled commuters, static road times, no congestion; different universes and boundary."
3304904,14400,inf,20,0.00039077001230925537,0,0.0,-0.039077001230925536,"Diagnostic only: 2022 automobile users returning >=3 days/week versus all modeled commuters, static road times, no congestion; different universes and boundary."
